ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-60706N|uniprotkb:Q960D2	DIP-18462N|refseq:NP_524179|uniprotkb:P52304	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S|pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196344E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-60706N|uniprotkb:Q960D2	DIP-59503N|refseq:NP_649557|uniprotkb:Q9VNE4	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196345E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60706N|uniprotkb:Q960D2	DIP-17858N|refseq:NP_476938|uniprotkb:Q03334	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196346E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60706N|uniprotkb:Q960D2	DIP-60710N|uniprotkb:Q9VQ35	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196347E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60706N|uniprotkb:Q960D2	DIP-21071N|refseq:NP_610661	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196348E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60706N|uniprotkb:Q960D2	DIP-60711N|uniprotkb:Q9W0P8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:23354166|pubmed:DIP-16526S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196349E	dip-quality-status:core	dip:0004(small scale)		-
DIP-49060N|uniprotkb:Q8INB9	DIP-22524N|refseq:NP_524430|uniprotkb:Q9VDE3	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:24068890|pubmed:DIP-16532S|pubmed:24068890|pubmed:DIP-16532S|pubmed:24068890|pubmed:DIP-16532S|pubmed:24068890|pubmed:DIP-16532S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196020E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-32843N|uniprotkb:P68198	DIP-49060N|uniprotkb:Q8INB9	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:24068890|pubmed:DIP-16532S|pubmed:24068890|pubmed:DIP-16532S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196022E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-60434N|uniprotkb:Q94527	DIP-31307N|refseq:NP_524751|uniprotkb:Q9VEZ5	 -	-	-	-	MI:0424(protein kinase assay)|MI:0424(protein kinase assay)	-	pubmed:19497884|pubmed:DIP-16589S|pubmed:19497884|pubmed:DIP-16589S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0217(phosphorylation reaction)|MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-196165E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31307N|refseq:NP_524751|uniprotkb:Q9VEZ5	DIP-31307N|refseq:NP_524751|uniprotkb:Q9VEZ5	-	-	-	-	MI:0424(protein kinase assay)	-	pubmed:19497884|pubmed:DIP-16589S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-196166E	dip-quality-status:core	dip:0004(small scale)		-
DIP-18113N|uniprotkb:Q02748	DIP-48889N|refseq:NP_476800|uniprotkb:P22745	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:19556547|pubmed:DIP-16596S|pubmed:19556547|pubmed:DIP-16596S|pubmed:19556547|pubmed:DIP-16596S|pubmed:19556547|pubmed:DIP-16596S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196174E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-121N|refseq:NP_524617|uniprotkb:P19538	DIP-29550N|refseq:NP_731877|uniprotkb:Q9VFP2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196192E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-121N|refseq:NP_524617|uniprotkb:P19538	DIP-32843N|uniprotkb:P68198	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196193E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29550N|refseq:NP_731877|uniprotkb:Q9VFP2	DIP-60771N|uniprotkb:Q9VHV8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196194E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29550N|refseq:NP_731877|uniprotkb:Q9VFP2	DIP-29550N|refseq:NP_731877|uniprotkb:Q9VFP2	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S|pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196197E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-22550N|refseq:NP_477092|uniprotkb:O16844	DIP-22550N|refseq:NP_477092|uniprotkb:O16844	-	-	-	-	MI:0055(fluorescent resonance energy transfer)	-	pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196198E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60773N|uniprotkb:Q9VG38	DIP-121N|refseq:NP_524617|uniprotkb:P19538	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:19955409|pubmed:DIP-16604S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196199E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60774N|refseq:NP_648145|uniprotkb:Q9VS97	DIP-60776N|refseq:NP_524142|uniprotkb:Q9NHB0	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)|MI:0028(cosedimentation in solution)	-	pubmed:18697931|pubmed:DIP-16606S|pubmed:18697931|pubmed:DIP-16606S|pubmed:18697931|pubmed:DIP-16606S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-196204E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60775N|refseq:NP_572727|uniprotkb:Q9VYX7	DIP-60776N|refseq:NP_524142|uniprotkb:Q9NHB0	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)	-	pubmed:18697931|pubmed:DIP-16606S|pubmed:18697931|pubmed:DIP-16606S|pubmed:18697931|pubmed:DIP-16606S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-196205E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60798N|uniprotkb:P46116	DIP-20922N|refseq:NP_476568|uniprotkb:P42287	 -	-	-	-	MI:0435(protease assay)	-	pubmed:17215357|pubmed:DIP-16638S	taxid:588(Providencia stuartii)	taxid:7227(Drosophila melanogaster)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-196277E	dip-quality-status:core	dip:0004(small scale)		-
DIP-9796N|refseq:NP_417882|uniprotkb:P09391	DIP-20922N|refseq:NP_476568|uniprotkb:P42287	 -	-	-	-	MI:0435(protease assay)	-	pubmed:17215357|pubmed:DIP-16638S	taxid:83333(Escherichia coli K12)	taxid:7227(Drosophila melanogaster)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-196278E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60735N|uniprotkb:P40797	DIP-18454N|refseq:NP_523430|uniprotkb:P42207	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:24633326|pubmed:DIP-16553S|pubmed:24633326|pubmed:DIP-16553S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196401E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-20060N|refseq:NP_524417|uniprotkb:P54359	DIP-60735N|uniprotkb:P40797	 -	-	-	-	MI:0096(pull down)	-	pubmed:24633326|pubmed:DIP-16553S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196402E	dip-quality-status:core	dip:0004(small scale)		-
DIP-19461N|refseq:NP_523655|uniprotkb:Q24311	DIP-22524N|refseq:NP_524430|uniprotkb:Q9VDE3	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:24068890|pubmed:DIP-16532S|pubmed:24068890|pubmed:DIP-16532S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196373E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-60717N|uniprotkb:Q9W5E1	DIP-22524N|refseq:NP_524430|uniprotkb:Q9VDE3	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:24068890|pubmed:DIP-16532S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196374E	dip-quality-status:core	dip:0004(small scale)		-
DIP-21076N|uniprotkb:Q27368	DIP-60952N|refseq:NP_733209|uniprotkb:Q9VB52	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17517653|pubmed:DIP-16814S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196883E	dip-quality-status:core	dip:0004(small scale)		-
DIP-60882N|uniprotkb:P22808	DIP-21577N|refseq:NP_524066|uniprotkb:Q24533	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:17360441|pubmed:DIP-16739S|pubmed:17360441|pubmed:DIP-16739S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196687E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-60883N|uniprotkb:Q6IL70	DIP-21577N|refseq:NP_524066|uniprotkb:Q24533	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:17360441|pubmed:DIP-16739S|pubmed:17360441|pubmed:DIP-16739S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-196688E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-21076N|uniprotkb:Q27368	DIP-60953N|uniprotkb:Q9NDJ2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17517653|pubmed:DIP-16814S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-196884E	dip-quality-status:core	dip:0004(small scale)		-
DIP-18847N|refseq:NP_525062|uniprotkb:Q9W4S7	DIP-40N|refseq:NP_733133|uniprotkb:P16371	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-197006E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-18847N|refseq:NP_525062|uniprotkb:Q9W4S7	DIP-60982N|uniprotkb:P91664	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:17898168|pubmed:DIP-16862S|pubmed:17898168|pubmed:DIP-16862S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-197007E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-24892N|refseq:NP_495103|uniprotkb:Q9GT24	DIP-59503N|refseq:NP_649557|uniprotkb:Q9VNE4	 -	-	-	-	MI:1247(mst)	-	pubmed:24980795|pubmed:DIP-16885S	taxid:6239(Caenorhabditis elegans)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197148E	dip-quality-status:core	dip:0004(small scale)		-
DIP-49071N|uniprotkb:O97143	DIP-25500N|refseq:NP_492414|uniprotkb:P91870	 -	-	-	-	MI:1247(mst)	-	pubmed:24980795|pubmed:DIP-16885S	taxid:7227(Drosophila melanogaster)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197150E	dip-quality-status:core	dip:0004(small scale)		-
DIP-49071N|uniprotkb:O97143	DIP-56915N|uniprotkb:A2AUM9	 -	-	-	-	MI:1247(mst)	-	pubmed:24980795|pubmed:DIP-16885S	taxid:7227(Drosophila melanogaster)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197151E	dip-quality-status:core	dip:0004(small scale)		-
DIP-61008N|refseq:NP_081832|uniprotkb:E9Q4Y4	DIP-49071N|uniprotkb:O97143	 -	-	-	-	MI:1247(mst)	-	pubmed:24980795|pubmed:DIP-16885S	taxid:10090(Mus musculus)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197152E	dip-quality-status:core	dip:0004(small scale)		-
DIP-52184N|uniprotkb:Q7KN62	DIP-61067N|uniprotkb:Q7K0S5	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0809,(bimolecular fluorescence complementation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25369031|pubmed:DIP-16948S|pubmed:25369031|pubmed:DIP-16948S|pubmed:25369031|pubmed:DIP-16948S|pubmed:25369031|pubmed:DIP-16948S|pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197330E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-20184N|refseq:NP_648226	DIP-44607N|uniprotkb:P19339	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0071(molecular sieving)|MI:0826(x ray scattering)|MI:0888(small angle neutron scattering)|MI:0077(nuclear magnetic resonance)|MI:0413(electrophoretic mobility shift assay)|MI:0104(static light scattering)|MI:0114(x-ray crystallography)	-	pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S|pubmed:25209665|pubmed:DIP-16956S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197340E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48889N|refseq:NP_476800|uniprotkb:P22745	DIP-52178N|uniprotkb:Q9V345	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25119050|pubmed:DIP-16961S|pubmed:25119050|pubmed:DIP-16961S|pubmed:25119050|pubmed:DIP-16961S|pubmed:25119050|pubmed:DIP-16961S|pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197350E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-22022N|refseq:NP_477442|uniprotkb:Q9XZ58	DIP-52178N|uniprotkb:Q9V345	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197352E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20046N|refseq:NP_524451	DIP-52178N|uniprotkb:Q9V345	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197353E	dip-quality-status:core	dip:0004(small scale)		-
DIP-52178N|uniprotkb:Q9V345	DIP-22982N|uniprotkb:Q9V4S8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197354E	dip-quality-status:core	dip:0004(small scale)		-
DIP-22982N|uniprotkb:Q9V4S8	DIP-20046N|refseq:NP_524451	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197355E	dip-quality-status:core	dip:0004(small scale)		-
DIP-19286N|refseq:NP_610284	DIP-61067N|uniprotkb:Q7K0S5	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25369031|pubmed:DIP-16948S|pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197446E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-19968N|uniprotkb:P18824	DIP-20929N|refseq:NP_733336|uniprotkb:Q9V407	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197447E	dip-quality-status:core	dip:0004(small scale)		-
DIP-22041N|refseq:NP_511140|uniprotkb:P54367	DIP-19968N|uniprotkb:P18824	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197448E	dip-quality-status:core	dip:0004(small scale)		-
DIP-19968N|uniprotkb:P18824	DIP-39170N|uniprotkb:P18431	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197449E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29871N|refseq:NP_052803|uniprotkb:P15917	DIP-30870N|uniprotkb:Q23977	 -	-	-	-	MI:0435(protease assay)	-	pubmed:16455799|pubmed:DIP-17020S	taxid:1392(Bacillus anthracis)	taxid:7227(Drosophila melanogaster)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-197509E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29871N|refseq:NP_052803|uniprotkb:P15917	DIP-20507N|refseq:NP_477162	 -	-	-	-	MI:0435(protease assay)	-	pubmed:16455799|pubmed:DIP-17020S	taxid:1392(Bacillus anthracis)	taxid:7227(Drosophila melanogaster)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-197510E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29506N|refseq:NP_523730|uniprotkb:Q9V6Q2	DIP-23697N|refseq:NP_524354|uniprotkb:Q24572	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0096(pull down)|MI:0676(tandem affinity purification)	-	pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S|pubmed:16601098|pubmed:DIP-17066S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197612E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-23697N|refseq:NP_524354|uniprotkb:Q24572	DIP-29505N|uniprotkb:P84040	 -	-	-	-	MI:0096(pull down)	-	pubmed:16601098|pubmed:DIP-17066S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)	MI:0465(dip)	DIP-197613E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38648N|refseq:NP_523604|uniprotkb:P16621	DIP-61238N|uniprotkb:Q9VM93	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16864797|pubmed:DIP-17220S|pubmed:16864797|pubmed:DIP-17220S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-197876E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-368N|uniprotkb:P04637	DIP-778N|refseq:NP_524161|uniprotkb:P49847	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:7809597|pubmed:DIP-37S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-197906E	dip-quality-status:core	dip:0002(small scale)		-
DIP-35774N|refseq:NP_609085|uniprotkb:Q9VM64	DIP-35774N|refseq:NP_609085|uniprotkb:Q9VM64	-	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0028(cosedimentation in solution)	-	pubmed:17077139|pubmed:DIP-17327S|pubmed:17077139|pubmed:DIP-17327S|pubmed:17077139|pubmed:DIP-17327S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-198266E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
